Coberturas Vacinais por Ano segundo Unidade da Federação
Imuno: 021 Tríplice Viral D1
Período: 1994-2019
"Unidade da Federação";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";...;17,15;93,85;94,94;115,24;130,63;115,99;125,36;116,70;103,49;102,29;100,41;102,72;105,40;106,52;146,88;109,00;109,79;105,52;102,03;56,62;102,28
"12 Acre";...;27,55;67,82;104,56;99,40;123,22;95,12;90,84;109,45;94,17;103,45;96,87;105,29;90,28;95,00;99,20;84,21;75,71;79,76;82,94;52,58;89,16
"13 Amazonas";...;14,84;27,69;71,27;91,30;86,06;104,03;103,37;110,07;101,56;103,13;100,11;94,67;103,39;98,77;114,36;95,42;83,56;84,59;90,09;58,89;86,94
"14 Roraima";...;25,35;61,93;75,26;110,22;110,32;116,01;94,23;97,31;95,51;100,61;94,49;97,98;87,83;89,07;110,16;108,45;90,77;89,13;105,04;48,20;90,17
"15 Pará";...;10,14;47,94;120,34;124,98;143,10;116,35;113,05;118,49;111,83;117,62;110,95;109,25;102,20;98,49;115,73;71,92;69,61;70,90;76,15;44,86;94,87
"16 Amapá";...;5,25;131,68;89,81;114,50;129,76;99,34;90,41;98,29;93,02;100,57;92,10;93,00;91,55;95,63;113,19;89,02;97,36;77,87;77,01;51,07;91,26
"17 Tocantins";...;0,17;82,17;88,48;115,03;97,41;101,00;100,96;107,82;96,40;103,00;95,33;91,41;91,60;102,24;105,54;94,70;91,89;89,24;90,39;58,69;89,86
"21 Maranhão";...;82,66;80,13;83,40;102,32;106,30;113,67;110,54;119,71;113,90;118,10;109,99;112,84;98,21;106,37;123,86;90,47;80,01;81,41;82,64;50,05;101,85
"22 Piauí";...;72,25;95,28;95,22;111,58;116,01;102,50;104,90;107,07;100,90;102,35;97,70;97,02;98,33;102,35;93,10;81,22;81,48;82,55;86,86;54,04;98,93
"23 Ceará";...;85,19;109,94;104,11;119,11;112,89;110,35;105,30;107,88;103,02;105,67;103,91;110,92;97,61;115,15;140,69;110,83;119,76;105,23;110,24;64,79;113,07
"24 Rio Grande do Norte";...;46,55;39,50;75,35;116,80;110,20;100,34;107,58;107,25;94,73;101,01;100,72;99,47;98,69;113,05;110,26;94,98;96,05;81,78;88,06;50,99;94,30
"25 Paraíba";...;67,12;95,42;96,56;108,34;114,45;107,30;112,97;116,26;102,50;104,40;119,28;102,34;92,72;114,64;120,35;93,67;96,59;96,74;95,77;58,80;105,28
"26 Pernambuco";...;29,21;69,88;84,64;119,59;113,70;109,15;110,07;113,35;105,71;111,23;104,79;113,67;104,59;120,77;108,46;97,81;112,65;101,28;104,46;63,82;99,33
"27 Alagoas";...;11,13;59,09;97,43;99,05;123,77;110,17;103,90;99,63;92,94;105,33;98,58;89,95;93,18;110,72;113,15;98,67;102,24;104,01;106,07;67,73;93,51
"28 Sergipe";...;94,08;102,22;103,48;132,46;120,41;93,82;95,89;106,25;99,53;102,66;98,24;98,03;97,34;111,44;94,64;91,99;92,09;89,26;95,30;62,09;105,59
"29 Bahia";...;76,30;104,80;88,35;107,79;132,66;117,98;114,49;108,20;102,05;108,09;102,97;100,29;97,88;109,17;114,85;90,18;85,70;83,27;80,39;48,83;103,98
"31 Minas Gerais";...;92,70;101,89;98,80;103,62;115,20;107,46;105,77;109,28;98,69;105,45;99,72;100,80;104,88;108,25;109,22;100,11;98,93;93,59;96,77;65,82;106,24
"32 Espírito Santo";...;68,74;99,75;101,04;126,19;113,96;110,12;109,37;104,49;100,36;102,47;99,72;103,76;105,07;106,19;109,44;99,04;104,31;87,38;95,37;62,14;105,91
"33 Rio de Janeiro";...;89,41;90,78;96,23;114,46;105,97;107,75;102,12;100,54;95,46;96,69;94,98;107,16;97,18;108,16;112,48;105,42;109,26;98,90;99,31;39,13;103,32
"35 São Paulo";...;105,38;105,13;105,13;119,88;104,30;102,04;101,19;100,23;96,68;99,13;94,91;100,34;99,54;103,37;105,02;97,91;92,96;91,26;90,38;60,19;104,99
"41 Paraná";...;91,12;101,36;101,72;107,13;93,89;99,78;101,21;103,17;94,48;100,19;95,64;98,59;99,94;110,21;113,35;99,44;91,87;91,84;89,37;63,19;102,98
"42 Santa Catarina";...;95,57;101,09;91,38;115,37;97,79;101,01;100,38;102,40;96,43;103,11;101,30;99,79;100,35;104,61;112,20;103,42;98,97;93,90;91,48;62,31;103,52
"43 Rio Grande do Sul";...;79,75;22,85;86,54;110,93;100,61;101,40;101,05;104,53;95,32;95,32;93,63;93,87;91,61;105,65;107,74;87,81;90,45;87,66;88,55;58,89;94,72
"50 Mato Grosso do Sul";...;114,77;99,93;100,22;119,49;98,49;97,99;104,28;106,44;92,66;102,13;100,22;96,29;100,76;113,91;143,76;112,53;100,98;94,93;104,12;61,72;107,70
"51 Mato Grosso";...;61,41;88,61;94,64;120,92;110,41;109,58;109,83;114,80;100,37;104,65;97,70;98,48;99,32;107,76;120,66;98,71;96,68;91,12;90,81;54,49;102,18
"52 Goiás";...;82,19;95,71;99,18;109,98;113,78;106,42;109,78;116,26;106,10;106,90;106,82;115,54;107,68;117,77;122,14;94,83;85,93;88,94;87,28;57,14;105,01
"53 Distrito Federal";134,17;101,96;102,22;99,92;101,66;96,70;101,14;98,91;95,26;91,52;95,78;92,41;89,52;92,85;105,23;104,91;67,58;131,75;89,21;86,99;58,73;96,92
"Total";6692,10;77,50;88,43;96,92;112,95;110,93;106,55;105,35;106,80;99,81;103,74;99,93;102,39;99,50;107,46;112,80;96,07;95,41;90,85;91,89;57,19;102,30
Fonte: Programa Nacional de Imunizações
Notas:
Data de atualização dos dados: 04/09/2019
