"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"Total"
"410010 Abatiá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;801,10;360,80;4063,86;14726,25;16825,48;19227,76;12335,25;16266,88;13808,57;17165,45;18779,19;17309,23;16630,77;14477,57;17128,55;14588,03;16611,36;12623,29;14851,98;18255,40;13805,75;13693,98;15110,85;16000,71;16485,61;15848,33;15746,03;16068,53;16555,01;16041,67;16020,91;15685,04;15348,35;16533,06;15593,52;16311,03;14939,80;16969,27;15091,60;15617,65;15897,87;15082,73;15434,21;15909,89;14723,34;13227,58;14420,65;13368,58;14048,26;14075,52;14630,42;13309,27;13917,99;14586,33;14185,50;15292,67;14713,33;14186,34;12232,68;13320,48;16483,63;13268,05;13022,91;13390,88;14464,89;15013,57;12524,66;14572,78;13398,08;15533,30;13234,92;13687,14;13449,88;15659,82;12408,80;-;-;8479,69;7301,40;8796,43;9087,19;9827,06;9234,27;8780,16;14816,85;6141,44;7823,22;10557,44;6820,99;10995,92;5441,62;7457,73;14801,94;11244,63;8181,44;4518,68;6935,37;8852,61;14190,69;7808,24;2027,81;-;-;5952,95;4040,12;5095,36;4123,88;6503,80;3246,15;2957,97;3492,23;3722,77;4092,20;3762,74;4815,85;3591,64;1238,46;3063,81;2132,17;3092,36;-;-;-;-;-;-;-;-;-;1362027,70
"410040 Almirante Tamandaré";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;721,27;230,28;13256,62;119476,43;99052,35;138199,23;122147,22;106384,12;100906,11;126902,09;130508,35;113439,18;108651,51;125179,49;64183,31;91591,13;94302,66;105565,09;104847,95;43739,66;53414,74;39201,63;54928,44;69693,45;60869,46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2087391,77
"410045 Altamira do Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1548,27;10516,33;11210,36;17203,96;7395,95;8304,74;9058,81;15159,91;15226,40;18708,42;14285,54;16976,47;20610,85;17324,60;20049,14;14189,10;13361,40;17039,82;8235,31;13521,99;12702,82;14313,94;10168,78;14243,87;15485,79;9793,14;13421,18;10376,06;9644,28;10609,26;12699,94;11427,42;12836,26;6262,97;10165,62;8883,80;-;12365,73;9856,38;16371,69;15377,67;15653,28;13531,68;13757,43;10814,20;11403,96;8606,65;10679,40;9181,68;9211,35;7893,00;10702,93;9693,64;15598,11;13758,41;11709,15;10954,04;8340,43;14843,77;9147,19;4193,34;4264,53;7732,64;4132,53;8224,32;15185,96;9893,90;14218,44;12452,25;11107,89;13819,77;-;925,97;10018,91;9361,39;10799,41;9461,31;9446,44;7181,55;10376,52;11364,94;10575,99;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;917152,27
"410060 Alto Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22282,60;30094,55;25329,38;52850,92;40342,36;45838,74;39194,90;35759,39;34580,65;33996,25;35494,68;33126,00;25871,12;30678,19;27474,96;24492,60;26162,39;39500,50;37607,46;29829,02;43058,37;33166,11;29216,41;33579,28;30420,39;27693,61;34540,30;30098,73;35981,55;29343,45;34837,99;44852,29;39148,41;26816,90;37119,26;21949,25;21967,37;29035,44;29286,72;36911,58;33178,63;42428,16;28966,97;26171,95;29600,75;40397,71;32495,20;29304,27;32023,07;29885,53;35944,09;34514,52;49860,31;47879,59;42854,24;48498,51;34437,09;40772,56;48069,87;42407,62;44993,65;32025,63;35960,12;49729,82;47703,77;35199,61;41613,21;41143,50;42017,95;43035,81;42923,14;39038,36;48917,37;41768,84;27432,94;40515,16;26418,97;3755,27;41885,51;28982,31;28721,47;38682,79;33261,51;28981,91;31411,62;32776,15;35035,22;41761,72;29211,68;34270,86;21589,97;30134,38;30005,00;26988,88;20189,88;27551,45;22680,59;33645,91;25771,38;30714,51;25237,13;30925,34;31337,87;21076,80;36269,91;21439,24;30391,58;28117,47;29127,02;24776,62;29883,17;29910,13;29513,66;27356,67;20025,86;28544,69;31057,56;24595,58;34731,36;28603,10;26506,63;39088,11;43290,61;21154,78;15716,56;22684,52;16464,00;4175494,50
"410050 Altônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1384,33;5228,32;17337,08;31189,99;33865,06;35528,20;36818,60;23677,06;33235,02;28346,01;25145,92;23508,09;2731,38;3632,11;16590,53;34662,97;26397,13;41855,63;40891,52;39022,55;35879,62;37271,07;37043,94;38654,30;27329,12;27579,98;25475,62;29319,21;31448,18;25897,55;22448,72;34008,19;30674,71;46418,83;48402,05;22374,73;17496,67;32020,62;22425,09;41737,22;32264,21;43149,78;39070,05;54309,27;49609,08;50927,65;38619,43;38516,10;39897,26;22851,87;33184,54;35032,03;40342,38;45688,07;33439,59;43529,13;42285,90;32609,60;47943,96;44920,73;24521,42;27652,00;32353,49;44174,14;39213,00;41133,14;32721,41;44011,62;55061,94;28835,03;25689,70;43001,42;7738,34;30488,93;34169,44;33420,32;49275,72;48152,41;46548,33;44226,85;42231,56;41975,47;42905,10;29018,11;20582,56;25840,56;32001,84;22252,67;41367,61;32621,52;43273,05;35106,63;36940,04;35752,58;35017,92;36045,19;31396,67;19750,32;24938,24;22789,64;22469,10;39103,71;37494,39;33320,43;33234,06;40921,24;38396,06;28489,94;26427,39;25009,77;29799,13;24112,70;21863,90;27586,01;23417,76;25146,35;30512,84;25966,56;16936,51;22405,85;25056,20;17130,18;24039,14;31683,31;20819,97;11960,20;15249,01;16517,55;4062408,74
"410080 Alvorada do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3838,07;5223,87;2884,71;7544,55;7504,85;2609,99;4756,16;5479,80;1006,25;5730,74;2356,02;5546,16;6502,83;1569,28;3379,39;4495,56;582,42;2272,97;6472,10;3420,98;1230,32;923,65;2912,10;1230,32;940,77;4203,57;3420,98;8026,12;7500,03;6537,23;3494,52;4881,14;3699,02;3543,50;2976,35;204,50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3116,60;2019,82;4394,86;-;-;-;1281,88;3239,46;10987,28;6048,33;2956,95;5342,07;9638,66;6811,65;3274,30;7875,17;6437,24;3706,26;5249,97;4187,70;1798,75;3405,56;2165,77;7641,77;6460,62;4500,13;4445,62;2772,62;1540,82;2944,11;4792,05;2689,75;5293,79;4642,04;5609,56;4826,38;5157,16;4085,00;5595,47;4661,71;5460,16;3584,00;3851,48;4011,03;5407,43;3155,26;2913,74;1826,60;340707,40
"410090 Amaporã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1936,65;5461,32;3653,51;2307,32;1672,70;9166,67;4479,33;3802,01;7424,69;3537,95;6506,54;4516,94;1674,15;13505,49;6373,72;11376,43;6843,75;8114,10;2771,60;9050,06;5012,98;4357,91;4792,73;2542,08;2389,13;6080,49;4583,23;5771,79;3626,38;2637,08;4946,81;4169,21;4086,30;6737,94;3637,84;1684,08;6056,10;2619,29;1077,86;2454,88;5422,87;5851,01;1120,10;6509,73;5960,59;1408,76;1290,37;1272,86;2777,77;2618,11;1442,82;3686,70;707,95;1016,70;2779,12;1944,62;2651,70;2607,12;1326,10;3538,74;1489,74;1905,54;1182,49;887,91;1222,87;4910,46;4983,43;2682,07;4532,23;2084,42;3880,80;2489,44;1411,23;1574,82;635,71;1665,33;1486,38;1961,14;806,57;3429,60;1898,57;679,29;4018,37;1892,75;-;47,27;1387,20;4762,70;3819,10;1245,50;998,97;-;2221,09;684,31;1061,61;2490,58;832,92;568,30;1110,75;1781,77;2570,06;1113,69;1510,85;889,54;1075,88;1775,39;1420,43;504,27;1409,61;961,27;1304,23;569,18;1691,30;3132,95;2640,55;2137,04;3357,98;1514,83;1079,21;2998,54;1746,35;2505,37;3536,99;2489,12;1383,00;708,99;787,90;372910,53
"410100 Ampére";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3557,10;4896,96;2266,06;36185,43;34024,98;42246,69;34306,56;28468,77;33973,20;35567,28;47294,79;43099,20;39905,04;33046,02;33782,01;33902,70;29172,93;41328,77;49775,86;33291,29;32327,35;31070,48;47494,31;39326,66;17270,71;-;-;2926,23;44305,55;41781,44;40356,08;42148,94;45165,30;46087,14;45852,96;42559,98;33833,27;35769,52;31406,98;43717,53;37329,45;39399,62;41485,73;43716,87;54998,48;68337,93;48951,22;43076,89;33403,80;44759,38;46641,43;38517,23;38557,91;35333,34;41809,29;47129,61;57118,40;36267,31;42881,25;47574,70;42731,15;39419,01;41083,92;52658,55;36458,70;54275,23;53947,40;52893,99;34434,30;57930,77;49043,40;46504,40;44173,71;41898,14;42946,61;44093,97;39165,41;48534,37;54776,89;58134,90;47635,88;47068,03;34150,26;42089,54;37936,55;47312,70;36849,29;34543,52;42707,49;69984,54;42582,72;72982,48;72510,80;68508,04;70173,02;78433,29;82083,03;89519,98;67667,18;77294,90;73785,07;87746,19;89459,20;68084,44;79617,01;85567,09;81571,02;73330,43;54266,73;72680,55;56656,93;62311,36;58349,95;68821,69;57931,86;66922,98;52476,72;54895,83;59105,56;59263,35;65831,70;56038,85;61049,63;63854,33;54566,41;61995,52;51271,10;32465,77;19991,31;6117828,55
"410110 Andirá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;218,68;12566,76;50365,80;49159,54;65018,03;51901,65;57514,64;51864,03;42195,80;54520,02;55233,69;53352,29;41299,88;61401,57;68718,89;57131,64;71417,12;46257,75;75263,84;53993,83;39449,15;40030,71;33976,38;41434,71;46392,40;46641,27;41915,21;44523,63;45093,32;42663,34;62137,51;59817,13;52855,40;47037,85;46388,88;51648,92;41447,32;46638,93;33919,29;43042,69;39400,69;39792,56;60656,15;50093,51;47283,58;48914,44;49094,66;46903,43;38662,82;31015,58;27362,17;43376,21;48022,55;44151,28;36029,48;42655,58;37949,85;46471,19;40984,36;41081,37;33956,13;38172,22;50585,33;44683,94;56482,79;48228,45;54992,95;46159,82;58644,01;46930,06;52157,25;46356,06;42402,28;48491,48;39796,63;45260,65;68867,56;45042,14;50607,71;83937,70;93836,80;105701,44;111862,58;125399,11;112825,60;31186,76;32822,09;35115,71;44148,21;37462,58;36058,33;38692,43;34115,91;42877,58;41753,32;37027,87;33563,39;22669,93;31836,66;44428,17;24258,57;38687,48;26955,01;32785,63;34353,63;29031,19;27920,78;31254,05;27923,30;31878,15;37412,16;35957,24;42507,20;38537,99;33865,18;37178,81;28837,73;32540,71;28943,23;36738,88;26226,11;30673,76;31073,12;21440,69;28241,53;24319,46;25022,34;23426,42;5749480,93
"410120 Antonina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1850,73;786,92;13518,16;30193,23;24215,04;23325,87;24124,72;19875,27;27989,78;21539,99;21281,05;20488,13;21248,30;24754,96;19164,70;23905,59;22320,24;25669,50;19622,89;23286,08;24453,34;17799,55;30225,84;25812,51;22758,98;20045,31;17479,86;25654,52;19138,26;23558,46;22519,90;21152,90;16147,72;22702,31;21516,40;16762,55;18176,54;13630,84;17105,47;16925,02;18378,80;14886,58;20726,34;25911,76;19694,32;22428,18;26444,73;17312,12;21056,14;13009,35;19647,86;15241,02;16967,43;22329,52;19646,94;25492,12;19631,08;17215,64;13843,56;12534,08;6243,04;12284,37;11694,82;10592,03;9372,09;9643,68;11815,38;19926,97;19970,96;17281,35;18712,53;10962,13;25484,80;11319,55;11553,51;21482,46;26665,49;24658,14;21514,19;22743,33;11982,59;13431,54;19346,95;14973,80;21392,53;10170,80;20579,65;14696,47;16473,47;33911,82;27972,83;30439,43;27206,09;29883,95;26225,58;30736,95;32444,91;24807,72;25723,97;24358,58;17293,04;27344,89;24252,54;24499,48;14095,43;19089,94;13350,81;18535,61;20429,30;16364,81;12286,06;16016,29;14501,08;15527,43;22842,53;18537,73;14805,16;14547,69;16340,02;18287,82;18863,81;12865,39;15656,21;14042,91;13344,80;14339,42;11896,72;8861,96;5609,29;2460233,62
